pid_x,pid_y,pid_z,front_left_speed,front_right_speed,back_left_speed,back_right_speed,orientation_x,orientation_y,orientation_z,acceleration_x,acceleration_y,acceleration_z,accel_rejected,mag_rejected,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
-7.97807,0,0,12.9781,12.9781,5,5,13.2968,-0.248994,-7.60964,0.0396205,-0.200571,0.0495955,0,0,4.0075,-113.05,-1.6625,-0.00488,-0.417972,-0.936838,-0.05166,0.24094,0.3241
-8.1174,0,0,13.1174,13.1174,5,5,13.529,-0.232211,-7.773,0.0393276,-0.196628,0.0486565,0,0,3.99,-113.19,-1.645,-0.00488,-0.417972,-0.936838,-0.05166,0.24094,0.3241
-8.25291,0,0,13.2529,13.2529,5,5,13.7548,-0.207349,-7.93975,0.043996,-0.194141,0.0417041,0,0,3.9725,-113.05,-1.68,0.000244,-0.419314,-0.942816,-0.05166,0.24094,0.3241
-8.38577,0,0,13.3858,13.3858,5,5,13.9763,-0.182057,-8.10465,0.0435546,-0.190388,0.0407793,0,0,4.0075,-112.928,-1.68,0.000244,-0.419314,-0.942816,-0.05166,0.24094,0.3241
-8.51643,0,0,13.5164,13.5164,5,5,14.1941,-0.167565,-8.26055,0.0360125,-0.187801,0.0383797,0,0,3.9375,-113.068,-1.75,-0.007076,-0.420412,-0.94428,-0.05166,0.24094,0.3241
-8.64408,0,0,13.6441,13.6441,5,5,14.4068,-0.15036,-8.4011,0.0357123,-0.184202,0.0374633,0,0,3.7625,-113.33,-1.8375,-0.007076,-0.420412,-0.94428,-0.05348,0.23618,0.3325
-8.77089,0,0,13.7709,13.7709,5,5,14.6182,-0.126193,-8.54445,0.0400284,-0.183074,0.0377694,0,0,3.8325,-113.225,-1.89,-0.002318,-0.422852,-0.94306,-0.05348,0.23618,0.3325
-8.89508,0,0,13.8951,13.8951,5,5,14.8251,-0.101538,-8.68599,0.0395981,-0.17958,0.0368523,0,0,3.7275,-112.98,-1.8025,-0.002318,-0.422852,-0.94306,-0.05348,0.23618,0.3325
-9.01417,0,0,14.0142,14.0142,5,5,15.0236,-0.0720806,-8.82929,0.0418781,-0.173789,0.0320265,0,0,3.78,-112.945,-1.8025,0.000488,-0.420412,-0.946964,-0.05348,0.23618,0.3325
-9.13447,0,0,14.1345,14.1345,5,5,15.2241,-0.05129,-8.96506,0.0360484,-0.171877,0.0400891,0,0,3.745,-112.963,-1.8375,-0.005002,-0.421876,-0.938058,-0.05348,0.23618,0.3325
-9.25197,0,0,14.252,14.252,5,5,15.4199,-0.0335379,-9.09738,0.0335518,-0.168824,0.037096,0,0,3.6925,-112.98,-1.925,-0.007198,-0.42212,-0.940132,-0.05348,0.23618,0.3325
-9.3663,0,0,14.3663,14.3663,5,5,15.6105,-0.0126988,-9.23029,0.0350104,-0.164521,0.0357147,0,0,3.745,-113.015,-1.9075,-0.005368,-0.421022,-0.94062,-0.05348,0.23618,0.3325
-9.47857,0,0,14.4786,14.4786,5,5,15.7976,0.00947851,-9.36275,0.0355952,-0.16211,0.0339702,0,0,3.7975,-113.103,-1.96,-0.004392,-0.421754,-0.941474,-0.05348,0.23618,0.3325
-9.59009,0,0,14.5901,14.5901,5,5,15.9835,0.0287435,-9.50582,0.0348945,-0.160089,0.0343113,0,0,4.0425,-113.085,-1.785,-0.004758,-0.422852,-0.940254,-0.05096,0.24108,0.32858
-9.69859,0,0,14.6986,14.6986,5,5,16.1643,0.0472849,-9.64685,0.0339635,-0.156201,0.0326996,0,0,3.9375,-113.19,-1.6975,-0.005368,-0.421998,-0.940986,-0.05096,0.24108,0.32858
-9.80405,0,0,14.804,14.804,5,5,16.3401,0.0631665,-9.78473,0.0316211,-0.151913,0.031472,0,0,3.9025,-113.243,-1.75,-0.007442,-0.420656,-0.941352,-0.05096,0.24108,0.32858
-9.90791,0,0,14.9079,14.9079,5,5,16.5132,0.083976,-9.92417,0.034538,-0.148771,0.0335679,0,0,3.885,-113.313,-1.68,-0.004148,-0.420412,-0.938424,-0.05096,0.24108,0.32858
-10.0114,0,0,15.0114,15.0114,5,5,16.6857,0.100486,-10.0593,0.0315772,-0.147839,0.0336908,0,0,4.0075,-113.33,-1.785,-0.006832,-0.422364,-0.937448,-0.05096,0.24108,0.32858
-10.1089,0,0,15.1089,15.1089,5,5,16.8481,0.119821,-10.195,0.0324546,-0.141828,0.0258644,0,0,4.0425,-113.383,-1.715,-0.005612,-0.41907,-0.944402,-0.05096,0.24108,0.32858
-10.2078,0,0,15.2078,15.2078,5,5,17.013,0.136993,-10.3271,0.03094,-0.140906,0.0333861,0,0,3.9725,-113.225,-1.68,-0.006832,-0.4209,-0.936106,-0.05096,0.24108,0.32858
-10.3034,0,0,15.3034,15.3034,5,5,17.1723,0.157194,-10.4598,0.0321667,-0.136173,0.0323221,0,0,4.0075,-113.19,-1.6975,-0.005246,-0.418826,-0.93635,-0.05096,0.24108,0.32858
-10.3979,0,0,15.3979,15.3979,5,5,17.3298,0.174665,-10.589,0.030161,-0.13587,0.0288016,0,0,4.0425,-113.103,-1.68,-0.006954,-0.421144,-0.939034,-0.05096,0.24108,0.32858
-10.4903,0,0,15.4903,15.4903,5,5,17.4838,0.192001,-10.7165,0.0296155,-0.131717,0.0311929,0,0,3.99,-113.173,-1.7325,-0.007198,-0.419558,-0.935862,-0.04578,0.23968,0.33124
-10.5791,0,0,15.5791,15.5791,5,5,17.6319,0.209623,-10.8428,0.0289434,-0.128521,0.0259864,0,0,3.9025,-112.963,-1.855,-0.007564,-0.418826,-0.940254,-0.04578,0.23968,0.33124
-10.667,0,0,15.667,15.667,5,5,17.7784,0.225619,-10.9671,0.0280568,-0.126573,0.0268058,0,0,4.0075,-113.33,-1.785,-0.008174,-0.419314,-0.938668,-0.04578,0.23968,0.33124
-10.7538,0,0,15.7538,15.7538,5,5,17.923,0.238784,-11.0879,0.0258833,-0.125392,0.0260311,0,0,3.7975,-113.208,-1.8025,-0.010126,-0.420534,-0.938668,-0.04578,0.23968,0.33124
-10.84,0,0,15.84,15.84,5,5,18.0666,0.257034,-11.2102,0.0289664,-0.124474,0.0264851,0,0,3.8325,-113.103,-1.715,-0.00671,-0.421998,-0.937448,-0.04578,0.23968,0.33124
-10.9227,0,0,15.9227,15.9227,5,5,18.2044,0.275897,-11.3318,0.0287586,-0.119991,0.0238909,0,0,3.955,-113.173,-1.715,-0.006588,-0.419802,-0.939278,-0.04578,0.23968,0.33124
-11.0057,0,0,16.0057,16.0057,5,5,18.3428,0.293977,-11.4514,0.0283216,-0.12185,0.0219025,0,0,3.7975,-113.103,-1.82,-0.00671,-0.42395,-0.940498,-0.04578,0.23968,0.33124
-11.0843,0,0,16.0843,16.0843,5,5,18.4739,0.315078,-11.5722,0.0294112,-0.11504,0.0216701,0,0,3.8325,-113.173,-1.855,-0.005246,-0.419314,-0.94001,-0.04578,0.23968,0.33124
-11.1625,0,0,16.1625,16.1625,5,5,18.6042,0.331832,-11.6858,0.0263246,-0.115693,0.0182405,0,0,3.9025,-113.155,-1.89,-0.008052,-0.42212,-0.942694,-0.0525,0.24024,0.32914
-11.2385,0,0,16.2385,16.2385,5,5,18.7308,0.353119,-11.8007,0.0286257,-0.11128,0.020482,0,0,3.955,-113.033,-1.715,-0.005368,-0.419802,-0.939766,-0.0525,0.24024,0.32914
-11.3149,0,0,16.3149,16.3149,5,5,18.8581,0.372014,-11.9129,0.0270811,-0.110154,0.0239444,0,0,4.0425,-113.12,-1.8375,-0.006588,-0.420778,-0.935618,-0.0525,0.24024,0.32914
-11.3886,0,0,16.3886,16.3886,5,5,18.981,0.391119,-12.0243,0.0271121,-0.108737,0.0188209,0,0,3.8325,-113.278,-1.68,-0.006222,-0.421388,-0.94001,-0.0525,0.24024,0.32914
-11.4588,0,0,16.4588,16.4588,5,5,19.098,0.40956,-12.1344,0.0260614,-0.104852,0.0152015,0,0,3.815,-113.278,-1.715,-0.006954,-0.419436,-0.942938,-0.0525,0.24024,0.32914
-11.5289,0,0,16.5289,16.5289,5,5,19.2149,0.431718,-12.245,0.0281044,-0.103904,0.0172346,0,0,3.8675,-113.033,-1.6975,-0.004514,-0.420412,-0.940254,-0.0525,0.24024,0.32914
-11.5966,0,0,16.5966,16.5966,5,5,19.3277,0.454087,-12.355,0.027714,-0.100703,0.0158443,0,0,3.885,-113.015,-1.82,-0.004514,-0.41907,-0.940986,-0.0525,0.24024,0.32914
-11.6644,0,0,16.6644,16.6644,5,5,19.4406,0.470909,-12.4606,0.0243832,-0.0999435,0.016786,0,0,4.0075,-113.26,-1.7675,-0.007564,-0.420168,-0.9394,-0.0525,0.24024,0.32914
-11.7291,0,0,16.7291,16.7291,5,5,19.5485,0.49002,-12.5735,0.0257505,-0.098659,0.00951619,0,0,3.9025,-113.208,-1.9425,-0.005856,-0.420656,-0.945988,-0.0511,0.24192,0.32438
-11.7932,0,0,16.7932,16.7932,5,5,19.6553,0.507984,-12.6845,0.0248295,-0.0956814,0.0140516,0,0,3.885,-113.295,-1.925,-0.006466,-0.419436,-0.940864,-0.0511,0.24192,0.32438
-11.8573,0,0,16.8573,16.8573,5,5,19.7622,0.525539,-12.7936,0.0244017,-0.0947811,0.0160019,0,0,3.9025,-113.173,-1.8375,-0.006588,-0.42029,-0.938302,-0.0511,0.24192,0.32438
